time,price,spread,returns,direction,returns_lag_1,returns_lag_2,returns_lag_3,returns_lag_4,returns_lag_5
2026-01-06 23:15:00,1.16899,0.0001799999999998,0.00012832412981755815,1.0,-0.1153869971930979,0.2016029617763054,0.003958670592336885,0.2618622445806532,-0.4121237936906763
2026-01-06 23:30:00,1.16886,0.00015,-0.00011121329438074569,-1.0,0.3007608491514809,-0.11547354615068119,0.20224693002643687,0.004051348917758521,0.262178165160264
2026-01-06 23:45:00,1.16872,0.00017,-0.00011978199690910874,-1.0,-0.25409463899652757,0.3006734766950801,-0.11501224932973618,0.20234791063764315,0.00435137820430765
2026-01-07 00:00:00,1.16867,0.0001599999999999,-4.2782761975926506e-05,-1.0,-0.2739428595411134,-0.2541809134709434,0.30137452061022624,-0.11492455229054942,0.20266016279307958
2026-01-07 00:15:00,1.16869,0.0001799999999998,1.7113324434640937e-05,1.0,-0.09558472519587263,-0.27402909473865616,-0.2537995275623291,0.30147965167183494,-0.11463185659984584
2026-01-07 00:30:00,1.1691,0.00015,0.00035075862605594564,1.0,0.04315631860853018,-0.09567131333940321,-0.27365914359593685,-0.2537176415159386,0.3017980142422111
2026-01-07 00:45:00,1.16918,0.00017,6.842636470502467e-05,1.0,0.8159997576617978,0.04306945591573423,-0.0951986082239984,-0.2735780890672991,-0.2534335009394405
2026-01-07 01:00:00,1.16922,0.00017,3.421142661975747e-05,1.0,0.16201591686492564,0.8159113656191236,0.04362209118670926,-0.09511008159201897,-0.27329517267564996
2026-01-07 01:15:00,1.16911,0.0001599999999999,-9.40842396761445e-05,-1.0,0.08276172000281694,0.16192881896548508,0.8169092440180229,0.04371643021082234,-0.09481616455044921
2026-01-07 01:30:00,1.16982,0.00017,0.0006071152380003768,1.0,-0.21441754034923094,0.08267477893642973,0.16254993048486602,0.8170359604050456,0.04401890442674313
2026-01-07 01:45:00,1.16958,0.0001599999999999,-0.00020518081631359125,-1.0,1.4098145802785806,-0.21450389333911693,0.08325023129028132,0.16264924899143776,0.8173861015252412
2026-01-07 02:00:00,1.17004,0.0001599999999999,0.0003932262554835315,1.0,-0.47175747571862714,1.4097250131588073,-0.2140996490420944,0.08334622953589947,0.16295905414763176
2026-01-07 02:15:00,1.16974,0.00017,-0.00025643436702930353,-1.0,0.914370178632112,-0.4718433194685055,1.4110649944412523,-0.2140161007705271,0.08365114650643475
2026-01-07 02:30:00,1.16979,0.0001599999999999,4.274362800020539e-05,1.0,-0.5904792746060622,0.9142815919280307,-0.47158733137962777,1.4112165879987877,-0.2137295130173208
2026-01-07 02:45:00,1.16963,0.0001599999999999,-0.00013678604119798015,-1.0,0.1025253906600013,-0.5905648834219817,0.9153361425476086,-0.471514564060654,1.4116033540198059
2026-01-07 03:00:00,1.1698,0.0001599999999999,0.00014533454756010213,1.0,-0.3133303887590172,0.1024384104840535,-0.590377292193863,0.9154669800472116,-0.47124384834238453
2026-01-07 03:15:00,1.16986,0.0001499999999998,5.128950361431678e-05,1.0,0.34016314159797206,-0.3134165460141075,0.1030252488937322,-0.5903094985844061,0.9158231883903439
2026-01-07 03:30:00,1.16984,0.00017,-1.7096208916013816e-05,-1.0,0.12232073579819752,0.34007569116990444,-0.3130692864358422,0.10312207511498545,-0.5900461053073154
2026-01-07 03:45:00,1.16986,0.0001499999999998,1.7096208915965575e-05,1.0,-0.03608535892941975,0.12223371645000973,0.3407994351547539,-0.31298988200121214,0.1034282110555601
2026-01-07 04:00:00,1.16998,0.0001799999999998,0.00010257111606388247,1.0,0.04311667286423236,-0.03617206481393634,0.12283195916351283,0.34090621692885825,-0.3127093949264077
2026-01-07 04:15:00,1.16951,0.0001599999999999,-0.00040179697825003046,-1.0,0.24110753583143524,0.04302981024988984,-0.03566508149597806,0.12292961468736617,0.3412270097266354
2026-01-07 04:30:00,1.16966,0.0001599999999999,0.00012825061898501998,1.0,-0.9271917648454755,0.2410202814206604,0.04358242268054002,-0.03557406220833625,0.12323697155157698
2026-01-07 04:45:00,1.16912,0.00017,-0.00046177922643072963,-1.0,0.3005905714213573,-0.92727670735412,0.24168695844275734,0.043676760043741485,-0.035276475405915934
2026-01-07 05:00:00,1.16921,0.0001599999999999,7.697801426189288e-05,1.0,-1.0661323905364506,0.30050319930191255,-0.9272830996869525,0.24178959039927375,0.043979231814419414
2026-01-07 05:15:00,1.16928,0.0001499999999998,5.9867692417684016e-05,1.0,0.18182463654715225,-1.0662170581008847,0.30120414511829074,-0.9272294122495115,0.24210427371375923
2026-01-07 05:30:00,1.16915,0.0001599999999999,-0.00011118571018518621,-1.0,0.1421909299937307,0.18173749944900536,-1.0663034955704842,0.30130926904631505,-0.9269867864930199
2026-01-07 05:45:00,1.16931,0.0001599999999999,0.00013684219550459467,1.0,-0.25403074400248415,0.14210387132518698,0.18237002297742436,-1.0662556288864242,0.3016276211144189
2026-01-07 06:00:00,1.1693,0.00014,-8.552088633964214e-06,-1.0,0.3204917764196339,-0.2541170186033393,0.14271356146383346,0.18247017134690688,-1.0660215726139575
2026-01-07 06:15:00,1.16954,0.00015,0.0002052299437689987,1.0,-0.01629407977645013,0.32040436491846713,-0.2537355958841557,0.14281204942599968,0.18278119825164293
2026-01-07 06:30:00,1.16942,0.00015,-0.00010260970696836396,-1.0,0.47890258664516067,-0.016380824825160702,0.32111677602563404,-0.2536537071609599,0.1431206318303352
2026-01-07 06:45:00,1.16976,0.0001599999999999,0.00029070016193231686,1.0,-0.23416561241749442,0.4788148616709914,-0.0158624395458343,0.32122273369113225,-0.2533695626435904
2026-01-07 07:00:00,1.16948,0.0001599999999999,-0.00023939399235398958,-1.0,0.6768825882246402,-0.2342519263286873,0.47961853489035045,-0.01577059112593206,0.32154231321202364
2026-01-07 07:15:00,1.1691,0.0001600000000001,-0.00032498353987843524,-1.0,-0.5510075910462152,0.676794471475532,-0.2338590591009828,0.4797311289896104,-0.015471783650654615
2026-01-07 07:30:00,1.16872,0.0001600000000001,-0.00032508918851469634,-1.0,-0.7492640026736879,-0.551093277971117,0.6777122030289795,-0.2337763381515662,0.4800604788631315
2026-01-07 07:45:00,1.16828,0.0001600000000001,-0.0003765511383816808,-1.0,-0.7495087232046905,-0.7493492972766733,-0.5508829466963542,0.6778330912665295,-0.23349096840632025
2026-01-07 08:00:00,1.16766,0.0001599999999999,-0.0005308355647482653,-1.0,-0.8687132500549721,-0.7495940173234081,-0.7492531835786972,-0.5508134994673429,0.6781746520139569
2026-01-07 08:15:00,1.16753,0.00014,-0.00011133997673363086,-1.0,-1.2260918976369766,-0.8687983082844792,-0.7494980446114702,-0.7491920420678482,-0.5505476716829941
2026-01-07 08:30:00,1.16815,0.0001600000000001,0.0005308946555712755,1.0,-0.2543880812383196,-1.226176248663752,-0.8687710105378909,-0.7494369133528989,-0.7489384422056339
2026-01-07 08:45:00,1.16859,0.0001600000000001,0.00037659303576790116,1.0,1.2332600873338244,-0.25447435513205396,-1.22635484046589,-0.8687148732121541,-0.7491833285843885
2026-01-07 09:00:00,1.16837,0.00014,-0.00018827879009480767,-1.0,0.87584161352093,1.233170869590883,-0.25409313827856134,-1.2263136750964179,-0.8684686406581847
2026-01-07 09:15:00,1.16844,0.0001599999999999,5.991073302584311e-05,1.0,-0.43260625732467056,0.8757531030595306,1.2344091359971767,-0.2540112645255869,-1.226089484696038
2026-01-07 09:30:00,1.16856,0.0001499999999998,0.00010269576389001763,1.0,0.14229062764110348,-0.43269217854937514,0.8767854569727929,1.234553333012796,-0.2537271420478169
2026-01-07 09:45:00,1.16846,0.0001999999999999,-8.557907083463341e-05,-1.0,0.24139626537191639,0.14220356877527196,-0.43241363503716207,0.8769146803636748,1.2349292096276432
2026-01-07 10:00:00,1.16885,0.00014,0.00033371696832619566,1.0,-0.1947164868494193,0.24130901038978583,0.142813316350768,-0.4323392275241435,0.8772685123685577
2026-01-07 10:15:00,1.1692,0.0001600000000001,0.00029939479704404814,1.0,0.7765251020828694,-0.19480287882495523,0.2419758537519683,0.1429118084896494,-0.43206609706404514
